Day,Type,Category,Tag Line,Question Number,Select,Question,Answer,More
326,colour,Football Kit Colours,drag colours to answer each clue,1,,"Colour of Brazil's home football shirt, worn since the 1950s",yellow,"Brazil's home kit is yellow with green trim, worn since the 1950s."
,,,,2,Y,"Colour of the Netherlands' home shirt, tied to their royal house",orange,The Dutch team is nicknamed Oranje after the House of Orange-Nassau.
,,,,3,,"Colour of Argentina's home shirt, worn with white stripes",blue,"Argentina's shirt, nicknamed the albiceleste, is pale blue with white stripes."
,,,,4,,"Colour Italy's national team wear, chosen to honour the House of Savoy",blue,Italy wear azzurro blue in honour of the royal House of Savoy.
,,,,5,,"Colour of Portugal's home football shirt, matching their flag",red,"Portugal's home kit is red with green shorts, matching their flag."
,,,,6,,"Colour of Wales' home shirt, echoing the dragon on their flag",red,"Wales wear red, echoing the dragon on the Welsh flag."
,,,,7,,"Colour of Scotland's home shirt, matching their saltire flag",blue,Scotland's navy blue kit matches the saltire on their flag.
,,,,8,,"Colour of Belgium's home shirt, worn with black shorts",red,Belgium's Red Devils are named for their red home kit.
,,,,9,,"Colour of Chile's home football shirt, worn with blue shorts",red,"Chile's team is nicknamed La Roja, meaning 'The Red One'."
,,,,10,,"Colour of Switzerland's home shirt, worn with a white cross",red,"Switzerland wear red shirts with a white cross, from their flag."
,,,,11,Y,"Colour of Japan's home football shirt, worn with white shorts",blue,Japan's team is nicknamed Samurai Blue after their shirt colour.
,,,,12,Y,"Colour of South Korea's home shirt, worn at major tournaments",red,"South Korea wear red at home, nicknamed the Reds."
,,,,13,,"Colour of Mexico's El Tri home shirt, from their national flag",green,"Mexico's El Tri wear green, one of their flag's three colours."
,,,,14,,"Colour of the Republic of Ireland's home shirt, worn with white trim",green,Ireland's team are nicknamed the Boys in Green.
,,,,15,Y,"Colour of Colombia's home shirt, worn with blue and red trim",yellow,Colombia wear yellow shirts with blue and red trim.
,,,,16,,"Colour of Sweden's home shirt, matching their national flag",yellow,"Sweden's kit is yellow with blue trim, matching their flag."
,,,,17,,"Colour of Ukraine's home shirt, taken from their national flag",yellow,"Ukraine's home shirts are yellow, taken from their national flag."
,,,,18,,Colour forming half of Croatia's famous chequerboard shirt pattern,red,Croatia's kit alternates red and white checkerboard squares.
,,,,19,Y,"Colour of Germany's away kit at the 2014 World Cup, trimmed in gold",black,Germany wore a black away kit trimmed in red and gold that tournament.
,,,,20,Y,"Colour of Nigeria's home shirt, taken from their national flag",green,"Nigeria's Super Eagles wear green at home, taken from their flag."
327,colour,Racing Flags (Motorsport),drag colours to answer each clue,1,Y,Flag colour warning drivers of a hazard somewhere on the track,yellow,A yellow flag tells drivers to slow down for danger ahead.
,,,,2,Y,"Flag colour ordering a driver back to the pits, ending their race",black,"A black flag disqualifies a driver, calling them into the pit lane."
,,,,3,Y,Flag colour telling a driver a faster car is closing in behind,blue,A blue flag tells a backmarker to let a faster car past.
,,,,4,Y,Flag colour that stops a race session completely,red,"A red flag halts the session, usually after a serious incident."
,,,,5,Y,Flag colour signalling the track is clear again after a hazard,green,A green flag ends a caution period and resumes racing.
,,,,6,,Disc colour on motorsport's black mechanical-warning flag,orange,A black flag with an orange disc warns of a car's mechanical fault.
,,,,7,,Left-hand stripe colour of the tricolour that starts Le Mans,blue,"The French tricolour flag is blue, white and red left to right."
,,,,8,,Flag colour ordering a NASCAR driver to pit for a rule breach,black,NASCAR uses a black flag to summon a car in for a penalty.
,,,,9,,Flag colour waved to start almost every motorsport race,green,Most motorsport series start the race with a green flag.
,,,,10,,Stripe colour on the blue flag used to wave a slower car aside,yellow,Some series' blue flag carries a diagonal yellow stripe.
,,,,11,Y,"Background colour of IndyCar's penalty flag, marked with a cross",orange,IndyCar's 'meatball' flag is orange with a black cross.
,,,,12,,Flag colour waved around the track when a safety car is deployed,yellow,Yellow flags are shown around the track during a safety car period.
,,,,13,,"Flag colour shown at pit exit, allowing cars to rejoin the track",green,A green light or flag at pit exit signals it's safe to rejoin.
,,,,14,,Flag colour used to halt a rally stage after an incident ahead,red,Rally stages are stopped with a red flag shown to competitors.
,,,,15,,Background colour of the flag marking a car no longer being scored,black,This black-flag variant carries a white cross instead of a disc.
,,,,16,,"Flag colour waved twice together, warning of marshals trackside",yellow,"Two yellow flags waved together mean extra caution, no overtaking."
,,,,17,,"Base colour of NASCAR's 'move over' flag, alongside a yellow stripe",blue,NASCAR's blue flag also carries a diagonal yellow stripe.
,,,,18,,Colour of the starting lights at an F1 Grand Prix before they go out,red,"Five red lights illuminate, then go out together to start the race."
,,,,19,,Base colour of the mechanical-fault flag marked with an orange disc,black,The base flag is black; the orange disc marks the specific warning.
,,,,20,,Flag colour opening the pit lane for cars at a session's start,green,A green flag or light opens the pit lane for a new session.
328,colour,Snooker Ball Colours,drag colours to answer each clue,1,Y,"Colour of the lowest-value snooker ball, apart from red",yellow,"The yellow ball is worth 2 points, the lowest of snooker's six colours."
,,,,2,,Colour of the snooker ball worth exactly 3 points,green,Green is potted for 3 points when clearing the colours.
,,,,3,Y,Colour of the snooker ball spotted on the table's centre spot,blue,"The blue ball, worth 5 points, sits on the table's centre spot."
,,,,4,Y,Colour of the snooker ball worth 6 points,pink,Pink is worth 6 points and sits near the top of the table.
,,,,5,,Colour of snooker's single most valuable ball,black,"Black is snooker's highest-value colour, worth 7 points."
,,,,6,,Colour potted immediately after yellow when clearing the colours,green,"After the reds, colours are potted in order: yellow, green, brown, blue, pink, black."
,,,,7,,Colour potted immediately after blue when clearing the colours,pink,Pink comes right after blue in snooker's colour-clearing order.
,,,,8,,Colour of the very last ball potted when clearing all six colours,black,"Black, worth 7 points, is always potted last when clearing the colours."
,,,,9,,Colour of the ball respotted on the exact centre of the table,blue,The blue ball is respotted on the exact centre spot of the table.
,,,,10,Y,Colour of the ball whose spot sits nearest the top cushion,black,The black ball's spot sits nearest the top cushion of the table.
,,,,11,Y,Colour of the snooker ball worth one point more than yellow,green,"Green is worth 3 points, one more than yellow's 2."
,,,,12,,Colour of the snooker ball worth two points more than green,blue,"Blue is worth 5 points, two more than green's 3."
,,,,13,,Colour of the snooker ball worth one point more than pink,black,"Black is worth 7 points, one more than pink's 6."
,,,,14,,Colour of the snooker ball worth one point less than pink,blue,"Blue is worth 5 points, one less than pink's 6."
,,,,15,Y,"Colour of ball that must be potted before any colour, at a frame's start",red,"Reds must be potted before colours at the start of a frame, worth 1 point each."
,,,,16,,Colour needed alongside every red to score snooker's maximum 147 break,black,"A maximum 147 break pots every red with black, plus all six colours."
,,,,17,,Colour of the woollen cloth covering a standard snooker table,green,Snooker tables are covered in a green woollen baize cloth.
,,,,18,,Colour traditionally worn by a snooker referee's waistcoat,black,Snooker referees traditionally wear black waistcoats and white gloves.
,,,,19,,Colour of the last ball potted before black in a full colour clearance,pink,Pink is the last colour potted before black to finish a clearance.
,,,,20,,"Colour of one of the two ball spots on the baulk 'D', alongside green",yellow,Yellow and green are spotted at the two corners of the D on the baulk line.
329,colour,Monopoly Board Colours (UK Edition),drag colours to answer each clue,1,,Colour group containing The Angel Islington on the UK Monopoly board,blue,"The Angel Islington is one of three light blue properties, with Euston Road and Pentonville Road."
,,,,2,Y,Colour group containing Euston Road on the UK Monopoly board,blue,"Euston Road is a light blue property, alongside The Angel Islington and Pentonville Road."
,,,,3,,Colour group containing Pentonville Road on the UK Monopoly board,blue,Pentonville Road completes the light blue group with Euston Road and The Angel Islington.
,,,,4,,Colour group containing Pall Mall on the UK Monopoly board,pink,"Pall Mall is a pink property, alongside Whitehall and Northumberland Avenue."
,,,,5,Y,Colour group containing Whitehall on the UK Monopoly board,pink,Whitehall sits in the pink group with Pall Mall and Northumberland Avenue.
,,,,6,,Colour group containing Northumberland Avenue on the UK Monopoly board,pink,Northumberland Avenue completes the pink group with Pall Mall and Whitehall.
,,,,7,,Colour group containing Bow Street on the UK Monopoly board,orange,"Bow Street is an orange property, alongside Marlborough Street and Vine Street."
,,,,8,Y,Colour group containing Marlborough Street on the UK Monopoly board,orange,Marlborough Street sits in the orange group with Bow Street and Vine Street.
,,,,9,,Colour group containing Vine Street on the UK Monopoly board,orange,Vine Street completes the orange group with Bow Street and Marlborough Street.
,,,,10,,Colour group containing The Strand on the UK Monopoly board,red,"The Strand is a red property, alongside Fleet Street and Trafalgar Square."
,,,,11,Y,Colour group containing Fleet Street on the UK Monopoly board,red,Fleet Street sits in the red group with The Strand and Trafalgar Square.
,,,,12,,Colour group containing Trafalgar Square on the UK Monopoly board,red,Trafalgar Square completes the red group with The Strand and Fleet Street.
,,,,13,,Colour group containing Leicester Square on the UK Monopoly board,yellow,"Leicester Square is a yellow property, alongside Coventry Street and Piccadilly."
,,,,14,Y,Colour group containing Coventry Street on the UK Monopoly board,yellow,Coventry Street sits in the yellow group with Leicester Square and Piccadilly.
,,,,15,,Colour group containing Piccadilly on the UK Monopoly board,yellow,Piccadilly completes the yellow group with Leicester Square and Coventry Street.
